KONULAR,2025,2024,2023,2022,2021,2020,2019,2018
Fizik Bilimine Giriş,–,–,–,–,–,1,–,1
Madde Ve Özellikleri,1,1,1,1,1,–,1,–
Kuvvet ve Hareket,1,1,1,1,1,1,1,1
"İş, Güç ve Enerji",–,–,–,–,–,–,1,–
"Isı, Sıcaklık ve Genleşme",1,1,1,1,1,–,1,1
Elektrostatik,1,–,–,1,–,–,–,1
Elektrik ve Manyetizma,–,1,2,–,1,1,1,–
Basınç,–,–,–,1,1,1,–,–
Kaldırma Kuvveti,1,1,–,–,–,1,–,1
Dalgalar,1,1,–,1,1,1,–,–
Optik,1,1,2,1,1,1,2,2
TOPLAM SORU SAYISI,7,7,7,7,7,7,7,7
