Konular,2018,2019,2020,2021,2022,2023,2024,2025
Kuvvet ve Hareket,4,4,6,3,4,5,4,4
Elektrik ve Manyetizma,3,3,3,4,2,4,3,3
Çembersel Hareket,2,2,3,2,2,3,2,2
Basit Harmonik Hareket,1,1,1,1,1,1,1,1
Dalga Mekaniği,2,1,1,1,1,1,1,2
Atom Fiziğine Giriş ve Radyoaktivite,1,1,–,1,1,–,1,1
Modern Fizik,1,1,–,1,2,–,1,–
Modern Fiziğin Teknolojideki Uygulamaları,–,1,–,1,1,–,1,1
Toplam,14,14,14,14,14,14,14,14
